Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
Taki Taki,"DJ Snake, Selena Gomez, Ozuna, Cardi B",0,2.0,1.0,4.0,1.0,0.8009999999999999,0.617,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,1
Hello,Adele,1,3.0,4.0,1.0,3.0,0.451,0.289,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4sPmO7WMQUAf45kwMOtONw,1
Work From Home,"Fifth Harmony, Ty Dolla $ign",1,1.0,2.0,4.0,1.0,0.585,0.593,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb,1
Sugar,Marron 5,0,2.0,1.0,4.0,2.0,0.7879999999999999,0.884,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,2iuZJX9X9P0GKaE93xcPjk,1
We Dont Talk Anymore,"Charlie Puth, Selena Gomez",1,2.0,4.0,1.0,3.0,0.563,0.35200000000000004,https://open.spotify.com/track/37FXw5QGFN7uwwsLy8uAc0,37FXw5QGFN7uwwsLy8uAc0,1
Demons,Imagine Dragons,0,4.0,3.0,1.0,2.0,0.71,0.428,https://open.spotify.com/track/3LlAyCYU26dvFZBDUIMb7a,3LlAyCYU26dvFZBDUIMb7a,1
IDGAF,Dua Lipa,1,2.0,2.0,1.0,1.0,0.544,0.51,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,1
Chandelier,Sia,1,2.0,3.0,1.0,3.0,0.787,0.5720000000000001,https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV,2s1sdSqGcKxpPr5lCl7jAV,1
Youngblood,5 Seconds of Summer,0,2.0,1.0,4.0,1.0,0.8540000000000001,0.152,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2iUXsYOEPhVqEBwsqP70rE,1
I Don't Wanna Live Forever,"ZAYN, Taylor Swift",0,1.0,4.0,1.0,2.0,0.445,0.106,https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,55n9yjI6qqXh5F2mYvUc2y,1
Mi Gente,"J Balvin, Willy William",0,1.0,1.0,4.0,1.0,0.716,0.469,https://open.spotify.com/track/1Q4N72MNyTuKaWlDFGQ3XH,1Q4N72MNyTuKaWlDFGQ3XH,1
Rockabye,"Clean Bandit, Sean Paul, Anne-Marie",1,1.0,2.0,4.0,1.0,0.763,0.742,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,5knuzwU65gJK7IF5yJsuaW,1
Ride,Twenty One Pilots,1,3.0,1.0,4.0,1.0,0.713,0.5660000000000001,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,2Z8WuEywRWYTKe1NybPQEW,1
Therefore I Am,Billie Eilish,0,2.0,3.0,1.0,1.0,0.34,0.716,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,54bFM56PmE4YLRnqpW6Tha,1
positions,Ariana Grande,0,1.0,2.0,4.0,1.0,0.802,0.682,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,35mvY5S1H3J2QZyna3TFe0,1
Dakiti,"Bad Bunny, Jhay Cortez",1,1.0,2.0,3.0,2.0,0.573,0.145,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,47EiUVwUp4C9fGccaPuUCS,1
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,0,1.0,1.0,3.0,1.0,0.66,0.47100000000000003,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,02kDW379Yfd5PzW5A6vuGt,1
Mood (feat. Iann dior),"24kGoldn, iann dior",1,1.0,2.0,3.0,1.0,0.722,0.7559999999999999,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq,1
